n,algorithm,scenario,k,p,nstart,nsteps,nsteps.c2,factor.nstart,factor.nsteps,balanced,seed,time,error,obj
1000,3,1,6,10,100,20,20,5,1,2,1,15.5657999515533,0.04,-15316.5329364665
200,1,2,6,10,100,20,20,5,1,2,1,0.724020957946777,0.275,-3410.92765256089
500,1,2,6,10,100,20,20,5,1,2,1,2.24300503730774,0.068,-8479.8983344457
1000,1,2,6,10,100,20,20,5,1,2,1,3.27324509620667,0.05,-16779.2690280174
200,2,2,6,10,100,20,20,5,1,2,1,0.884634017944336,0.15,-3188.40532274436
500,2,2,6,10,100,20,20,5,1,2,1,2.7811279296875,0.042,-8065.56159789433
1000,2,2,6,10,100,20,20,5,1,2,1,6.30858087539673,0.038,-16100.8294346502
200,3,2,6,10,100,20,20,5,1,2,1,3.45428800582886,0.215,-3403.95332956789
500,3,2,6,10,100,20,20,5,1,2,1,11.0883479118347,0.046,-8403.17434104235
1000,3,2,6,10,100,20,20,5,1,2,1,16.9906780719757,0.049,-16771.001046555
200,1,1,3,4,400,20,20,5,1,2,1,0.404458999633789,0.04,-1353.13726998068
500,1,1,3,4,400,20,20,5,1,2,1,1.18882012367249,0.034,-3418.78356765567
1000,1,1,3,4,400,20,20,5,1,2,1,1.70943593978882,0.029,-6885.74656094194
200,2,1,3,4,400,20,20,5,1,2,1,0.815818071365356,0.01,-1215.37647280641
500,2,1,3,4,400,20,20,5,1,2,1,3.69212603569031,0.018,-3071.04484088209
1000,2,1,3,4,400,20,20,5,1,2,1,14.4937658309937,0.01,-6185.12429435149
200,3,1,3,4,400,20,20,5,1,2,1,2.01528096199036,0.04,-1353.13726998068
500,3,1,3,4,400,20,20,5,1,2,1,6.43678689002991,0.034,-3418.78356765567
1000,3,1,3,4,400,20,20,5,1,2,1,8.58903288841248,0.029,-6885.74656094194
200,1,2,3,4,400,20,20,5,1,2,1,0.527588129043579,0.065,-1732.04377152036
500,1,2,3,4,400,20,20,5,1,2,1,1.10604214668274,0.056,-4406.06012903833
1000,1,2,3,4,400,20,20,5,1,2,1,1.59230804443359,0.038,-8767.13508318014
200,2,2,3,4,400,20,20,5,1,2,1,0.949460983276367,0.04,-1607.89723838302
500,2,2,3,4,400,20,20,5,1,2,1,4.04056096076965,0.02,-4065.56872645392
1000,2,2,3,4,400,20,20,5,1,2,1,16.0388197898865,0.018,-8144.34516222645
200,3,2,3,4,400,20,20,5,1,2,1,1.94280409812927,0.065,-1732.04377152036
500,3,2,3,4,400,20,20,5,1,2,1,6.3742401599884,0.056,-4406.06012903833
1000,3,2,3,4,400,20,20,5,1,2,1,9.40983700752258,0.038,-8767.13508318014
200,1,1,6,4,400,20,20,5,1,2,1,0.902585029602051,0.02,-1509.44399090239
500,1,1,6,4,400,20,20,5,1,2,1,2.4544370174408,0.03,-3895.85688707025
1000,1,1,6,4,400,20,20,5,1,2,1,3.34306001663208,0.034,-7617.80016056641
200,2,1,6,4,400,20,20,5,1,2,1,1.30550813674927,0.02,-1323.32364010933
500,2,1,6,4,400,20,20,5,1,2,1,4.78043484687805,0.022,-3367.23572380061
1000,2,1,6,4,400,20,20,5,1,2,1,20.3002331256866,0.017,-6768.67932469553
200,3,1,6,4,400,20,20,5,1,2,1,4.55948400497437,0.02,-1509.44399090239
500,3,1,6,4,400,20,20,5,1,2,1,12.6145029067993,0.04,-3833.95686604067
1000,3,1,6,4,400,20,20,5,1,2,1,17.8824620246887,0.037,-7832.89585611705
200,1,2,6,4,400,20,20,5,1,2,1,1.0937819480896,0.06,-1841.35712442001
500,1,2,6,4,400,20,20,5,1,2,1,3.26826000213623,0.046,-4666.71170107948
1000,1,2,6,4,400,20,20,5,1,2,1,4.70362687110901,0.045,-9328.12313240534
200,2,2,6,4,400,20,20,5,1,2,1,1.52592015266418,0.05,-1714.16751102002
500,2,2,6,4,400,20,20,5,1,2,1,5.20780110359192,0.028,-4336.97557706724
1000,2,2,6,4,400,20,20,5,1,2,1,17.7035269737244,0.035,-8714.92587729171
200,3,2,6,4,400,20,20,5,1,2,1,5.99548101425171,0.06,-1841.35712442001
500,3,2,6,4,400,20,20,5,1,2,1,15.0917248725891,0.046,-4666.71170107948
1000,3,2,6,4,400,20,20,5,1,2,1,23.630508184433,0.042,-9328.21350623192
200,1,1,3,10,400,20,20,5,1,2,1,1.42618608474731,0.035,-2843.87796426426
500,1,1,3,10,400,20,20,5,1,2,1,3.7380039691925,0.05,-7201.3104344944
1000,1,1,3,10,400,20,20,5,1,2,1,5.70195913314819,0.044,-14207.8779902523
200,2,1,3,10,400,20,20,5,1,2,1,1.72638297080994,0.02,-2708.22640041239
500,2,1,3,10,400,20,20,5,1,2,1,5.52706098556519,0.03,-6870.8995419879
1000,2,1,3,10,400,20,20,5,1,2,1,18.9906139373779,0.012,-13655.4897274544
200,3,1,3,10,400,20,20,5,1,2,1,7.41078901290894,0.035,-2843.87796426426
500,3,1,3,10,400,20,20,5,1,2,1,17.6534180641174,0.052,-7202.34348900357
1000,3,1,3,10,400,20,20,5,1,2,1,27.8979768753052,0.044,-14207.8779902523
200,1,2,3,10,400,20,20,5,1,2,1,1.34939193725586,0.05,-3211.4262937206
500,1,2,3,10,400,20,20,5,1,2,1,2.71174907684326,0.062,-8111.83395617672
1000,1,2,3,10,400,20,20,5,1,2,1,3.72803092002869,0.056,-16224.1670252617
200,2,2,3,10,400,20,20,5,1,2,1,1.71242189407349,0.04,-3082.00272280103
500,2,2,3,10,400,20,20,5,1,2,1,4.55135607719421,0.02,-7851.92743654959
1000,2,2,3,10,400,20,20,5,1,2,1,17.5808560848236,0.02,-15603.5301847358
200,3,2,3,10,400,20,20,5,1,2,1,7.45059609413147,0.05,-3211.4262937206
500,3,2,3,10,400,20,20,5,1,2,1,12.9927020072937,0.062,-8111.83395617672
1000,3,2,3,10,400,20,20,5,1,2,1,18.6043000221252,0.056,-16224.1670252617
200,1,1,6,10,400,20,20,5,1,2,1,2.22988200187683,0.15,-3045.11013081611
500,1,1,6,10,400,20,20,5,1,2,1,7.25559711456299,0.09,-7644.11359133589
1000,1,1,6,10,400,20,20,5,1,2,1,12.2776830196381,0.04,-15316.5329364665
200,2,1,6,10,400,20,20,5,1,2,1,2.42651009559631,0.035,-2701.86780713411
500,2,1,6,10,400,20,20,5,1,2,1,8.90181112289429,0.028,-7064.43315203002
1000,2,1,6,10,400,20,20,5,1,2,1,24.8047759532928,0.025,-14162.7040430325
200,3,1,6,10,400,20,20,5,1,2,1,11.1929330825806,0.165,-2977.05760517348
500,3,1,6,10,400,20,20,5,1,2,1,36.0846431255341,0.09,-7644.11359133589
1000,3,1,6,10,400,20,20,5,1,2,1,62.1158349514008,0.04,-15316.5329364665
200,1,2,6,10,400,20,20,5,1,2,1,2.85038995742798,0.215,-3403.95332956789
500,1,2,6,10,400,20,20,5,1,2,1,8.56635808944702,0.046,-8403.17434104235
1000,1,2,6,10,400,20,20,5,1,2,1,12.8940479755402,0.049,-16771.001046555
200,2,2,6,10,400,20,20,5,1,2,1,2.96820116043091,0.085,-3134.19361180932
500,2,2,6,10,400,20,20,5,1,2,1,10.60324883461,0.042,-8065.56159789433
1000,2,2,6,10,400,20,20,5,1,2,1,27.3500611782074,0.038,-16100.237357126
200,3,2,6,10,400,20,20,5,1,2,1,14.0185599327087,0.215,-3403.95332956789
500,3,2,6,10,400,20,20,5,1,2,1,43.4817559719086,0.046,-8403.17434104235
1000,3,2,6,10,400,20,20,5,1,2,1,67.9769690036774,0.049,-16771.001046555
200,1,1,3,4,100,20,20,5,1,1,2,0.105716943740845,0.03,-1353.6512515208
500,1,1,3,4,100,20,20,5,1,1,2,0.285236120223999,0.026,-3352.71422655601
1000,1,1,3,4,100,20,20,5,1,1,2,0.417171955108643,0.044,-6734.00084099706
200,2,1,3,4,100,20,20,5,1,1,2,0.199467182159424,0.02,-1208.22181878025
500,2,1,3,4,100,20,20,5,1,1,2,0.891196012496948,0.018,-3028.27269126325
1000,2,1,3,4,100,20,20,5,1,1,2,3.62630319595337,0.016,-6041.01592110521
200,3,1,3,4,100,20,20,5,1,1,2,0.520455121994019,0.03,-1353.6512515208
500,3,1,3,4,100,20,20,5,1,1,2,1.45774698257446,0.026,-3352.71422655601
1000,3,1,3,4,100,20,20,5,1,1,2,2.26993012428284,0.044,-6734.00084099706
200,1,2,3,4,100,20,20,5,1,1,2,0.104719877243042,0.045,-1733.48554180939
500,1,2,3,4,100,20,20,5,1,1,2,0.27027702331543,0.056,-4412.33629587876
1000,1,2,3,4,100,20,20,5,1,1,2,0.444810152053833,0.059,-8836.71166768356
200,2,2,3,4,100,20,20,5,1,1,2,0.224399089813232,0.02,-1602.40993317671
500,2,2,3,4,100,20,20,5,1,1,2,0.899594068527222,0.02,-4013.59449336089
1000,2,2,3,4,100,20,20,5,1,1,2,4.07606482505798,0.023,-8022.05144063549
