n,algorithm,scenario,k,p,nstart,nsteps,nkeep,equal_weights,opt,balanced,seed,time,error,obj
 200,4,1,3, 4,1000,20,10,FALSE,HARD,1, 2,0.42586088180542,0.015,-1209.54854439353
1000,4,1,3, 4,1000,20,10,FALSE,HARD,1, 2,1.41822195053101,0.016,-6041.01592110521
 200,2,2,3, 4,1000,20,10,FALSE,HARD,1, 2,1.03210592269897,0.02,-1602.40993317671
1000,2,2,3, 4,1000,20,10,FALSE,HARD,1, 2,3.93547606468201,0.023,-8021.9738014456
 200,3,2,3, 4,1000,20,10,FALSE,HARD,1, 2,1.35537600517273,0.02,-1602.40993317671
1000,3,2,3, 4,1000,20,10,FALSE,HARD,1, 2,4.42927694320679,0.023,-8021.97380144561
 200,4,2,3, 4,1000,20,10,FALSE,HARD,1, 2,0.460767984390259,0.02,-1602.40993317671
1000,4,2,3, 4,1000,20,10,FALSE,HARD,1, 2,1.36534905433655,0.023,-8022.05144063549
 200,2,1,6, 4,1000,20,10,FALSE,HARD,1, 2,0.945472002029419,0.05,-1316.34903066121
1000,2,1,6, 4,1000,20,10,FALSE,HARD,1, 2,3.73858094215393,0.014,-6671.99681138641
 200,3,1,6, 4,1000,20,10,FALSE,HARD,1, 2,2.19313597679138,0.055,-1315.01108157016
1000,3,1,6, 4,1000,20,10,FALSE,HARD,1, 2,5.89024782180786,0.014,-6671.57441066749
 200,4,1,6, 4,1000,20,10,FALSE,HARD,1, 2,0.952453136444092,0.055,-1315.01108157016
1000,4,1,6, 4,1000,20,10,FALSE,HARD,1, 2,2.59306597709656,0.014,-6671.57441066749
 200,2,2,6, 4,1000,20,10,FALSE,HARD,1, 2,1.65377306938171,0.075,-1707.4355649325
1000,2,2,6, 4,1000,20,10,FALSE,HARD,1, 2,8.40090584754944,0.029,-8636.45796654942
