n,algorithm,scenario,k,p,q,var,sep.means,nstart,nsteps,nsteps.c2,factor.nstart,factor.nsteps,balanced,seed,time,error,obj
400,2,2,3,200,5,0.01,0,100,20,20,5,1,1,3,40.3210411071777,0.065,479.317713076636
150,3,2,3,200,5,0.01,0,100,20,20,5,1,1,3,30.8191390037537,0.386666666666667,167.475395624935
400,3,2,3,200,5,0.01,0,100,20,20,5,1,1,3,187.530067205429,0.35,480.521923585814
150,1,1,3,200,5,0.01,0,400,20,20,5,1,1,3,23.0329520702362,0.386666666666667,167.475395624935
400,1,1,3,200,5,0.01,0,400,20,20,5,1,1,3,141.327305078506,0.35,480.521923585814
150,2,1,3,200,5,0.01,0,400,20,20,5,1,1,3,19.1696009635925,0.1,169.055967235891
400,2,1,3,200,5,0.01,0,400,20,20,5,1,1,3,113.372709035873,0.0675,479.370223043387
150,3,1,3,200,5,0.01,0,400,20,20,5,1,1,3,83.4633049964905,0.38,166.860858911765
400,3,1,3,200,5,0.01,0,400,20,20,5,1,1,3,763.827366113663,0.3575,480.026913464813
150,1,2,3,200,5,0.01,0,400,20,20,5,1,1,3,23.4398860931396,0.386666666666667,167.475395624935
400,1,2,3,200,5,0.01,0,400,20,20,5,1,1,3,151.208229064941,0.35,480.521923585814
150,2,2,3,200,5,0.01,0,400,20,20,5,1,1,3,22.9525520801544,0.1,169.055967235891
400,2,2,3,200,5,0.01,0,400,20,20,5,1,1,3,153.703313112259,0.0675,479.370223043387
150,3,2,3,200,5,0.01,0,400,20,20,5,1,1,3,120.094826936722,0.38,166.860858911765
400,3,2,3,200,5,0.01,0,400,20,20,5,1,1,3,771.473120212555,0.3575,480.026913464813
150,1,1,3,200,5,0.01,0,100,20,20,5,1,2,3,5.36271381378174,0.366666666666667,169.257266730854
400,1,1,3,200,5,0.01,0,100,20,20,5,1,2,3,38.5515549182892,0.1625,480.849271802158
150,2,1,3,200,5,0.01,0,100,20,20,5,1,2,3,5.76810002326965,0.06,168.96694886183
400,2,1,3,200,5,0.01,0,100,20,20,5,1,2,3,38.7569401264191,0.065,479.317713076636
150,3,1,3,200,5,0.01,0,100,20,20,5,1,2,3,28.8324501514435,0.386666666666667,167.475395624935
400,3,1,3,200,5,0.01,0,100,20,20,5,1,2,3,188.711716175079,0.35,480.521923585814
150,1,2,3,200,5,0.01,0,100,20,20,5,1,2,3,5.55895686149597,0.366666666666667,169.257266730854
400,1,2,3,200,5,0.01,0,100,20,20,5,1,2,3,39.6316800117493,0.1625,480.849271802158
150,2,2,3,200,5,0.01,0,100,20,20,5,1,2,3,5.85087919235229,0.06,168.96694886183
400,2,2,3,200,5,0.01,0,100,20,20,5,1,2,3,39.9246740341187,0.065,479.317713076636
150,3,2,3,200,5,0.01,0,100,20,20,5,1,2,3,29.6333270072937,0.386666666666667,167.475395624935
400,3,2,3,200,5,0.01,0,100,20,20,5,1,2,3,190.054650068283,0.35,480.521923585814
150,1,1,3,200,5,0.01,0,400,20,20,5,1,2,3,22.5193960666656,0.386666666666667,167.475395624935
400,1,1,3,200,5,0.01,0,400,20,20,5,1,2,3,153.653034925461,0.35,480.521923585814
150,2,1,3,200,5,0.01,0,400,20,20,5,1,2,3,24.1469690799713,0.1,169.055967235891
400,2,1,3,200,5,0.01,0,400,20,20,5,1,2,3,153.486518144608,0.0675,479.370223043387
150,3,1,3,200,5,0.01,0,400,20,20,5,1,2,3,118.563898086548,0.38,166.860858911765
400,3,1,3,200,5,0.01,0,400,20,20,5,1,2,3,769.970580816269,0.3575,480.026913464813
150,1,2,3,200,5,0.01,0,400,20,20,5,1,2,3,23.3374900817871,0.386666666666667,167.475395624935
400,1,2,3,200,5,0.01,0,400,20,20,5,1,2,3,153.249049901962,0.35,480.521923585814
150,2,2,3,200,5,0.01,0,400,20,20,5,1,2,3,23.9809849262238,0.1,169.055967235891
400,2,2,3,200,5,0.01,0,400,20,20,5,1,2,3,153.722820997238,0.0675,479.370223043387
150,3,2,3,200,5,0.01,0,400,20,20,5,1,2,3,120.349252939224,0.38,166.860858911765
400,3,2,3,200,5,0.01,0,400,20,20,5,1,2,3,768.977452993393,0.3575,480.026913464813
150,1,1,3,200,5,0.01,0,100,20,20,5,1,1,4,6.26524615287781,0.366666666666667,169.184180620882
400,1,1,3,200,5,0.01,0,100,20,20,5,1,1,4,38.2901802062988,0.0975,483.951533337279
150,2,1,3,200,5,0.01,0,100,20,20,5,1,1,4,6.04633808135986,0.0266666666666667,170.015360452958
400,2,1,3,200,5,0.01,0,100,20,20,5,1,1,4,37.6286599636078,0.0325,482.111786345827
150,3,1,3,200,5,0.01,0,100,20,20,5,1,1,4,28.9441699981689,0.42,168.823410051174
400,3,1,3,200,5,0.01,0,100,20,20,5,1,1,4,189.745012998581,0.0475,482.538593811706
150,1,2,3,200,5,0.01,0,100,20,20,5,1,1,4,5.84736394882202,0.366666666666667,169.184180620882
400,1,2,3,200,5,0.01,0,100,20,20,5,1,1,4,36.7124311923981,0.0975,483.951533337279
150,2,2,3,200,5,0.01,0,100,20,20,5,1,1,4,5.86699295043945,0.0266666666666667,170.015360452958
400,2,2,3,200,5,0.01,0,100,20,20,5,1,1,4,38.2313079833984,0.0325,482.111786345827
150,3,2,3,200,5,0.01,0,100,20,20,5,1,1,4,29.3785231113434,0.42,168.823410051174
400,3,2,3,200,5,0.01,0,100,20,20,5,1,1,4,187.776126861572,0.0475,482.538593811706
150,1,1,3,200,5,0.01,0,400,20,20,5,1,1,4,23.9315731525421,0.42,168.823410051174
400,1,1,3,200,5,0.01,0,400,20,20,5,1,1,4,152.189517974854,0.1175,483.476072660896
150,2,1,3,200,5,0.01,0,400,20,20,5,1,1,4,23.8702421188354,0.0466666666666667,170.17182151385
400,2,1,3,200,5,0.01,0,400,20,20,5,1,1,4,150.845508098602,0.0325,482.157885481893
150,3,1,3,200,5,0.01,0,400,20,20,5,1,1,4,116.629124164581,0.366666666666667,168.517029456774
400,3,1,3,200,5,0.01,0,400,20,20,5,1,1,4,617.271338939667,0.0475,482.538593811706
150,1,2,3,200,5,0.01,0,400,20,20,5,1,1,4,14.1870651245117,0.42,168.823410051174
400,1,2,3,200,5,0.01,0,400,20,20,5,1,1,4,92.0818920135498,0.1175,483.476072660896
150,2,2,3,200,5,0.01,0,400,20,20,5,1,1,4,13.9766390323639,0.0466666666666667,170.17182151385
400,2,2,3,200,5,0.01,0,400,20,20,5,1,1,4,91.513699054718,0.0325,482.157885481893
150,3,2,3,200,5,0.01,0,400,20,20,5,1,1,4,68.8413491249084,0.366666666666667,168.517029456774
400,3,2,3,200,5,0.01,0,400,20,20,5,1,1,4,423.603517055511,0.0475,482.538593811706
150,1,1,3,200,5,0.01,0,100,20,20,5,1,2,4,3.32710981369019,0.366666666666667,169.184180620882
400,1,1,3,200,5,0.01,0,100,20,20,5,1,2,4,34.0405628681183,0.0975,483.951533337279
150,2,1,3,200,5,0.01,0,100,20,20,5,1,2,4,5.55665111541748,0.0266666666666667,170.015360452958
400,2,1,3,200,5,0.01,0,100,20,20,5,1,2,4,37.5351781845093,0.0325,482.111786345827
150,3,1,3,200,5,0.01,0,100,20,20,5,1,2,4,29.3944699764252,0.42,168.823410051174
400,3,1,3,200,5,0.01,0,100,20,20,5,1,2,4,185.716674804688,0.0475,482.538593811706
150,1,2,3,200,5,0.01,0,100,20,20,5,1,2,4,6.36000800132751,0.366666666666667,169.184180620882
400,1,2,3,200,5,0.01,0,100,20,20,5,1,2,4,37.0485079288483,0.0975,483.951533337279
150,2,2,3,200,5,0.01,0,100,20,20,5,1,2,4,6.04336810112,0.0266666666666667,170.015360452958
400,2,2,3,200,5,0.01,0,100,20,20,5,1,2,4,37.6674270629883,0.0325,482.111786345827
150,3,2,3,200,5,0.01,0,100,20,20,5,1,2,4,29.5003020763397,0.42,168.823410051174
400,3,2,3,200,5,0.01,0,100,20,20,5,1,2,4,186.561316013336,0.0475,482.538593811706
150,1,1,3,200,5,0.01,0,400,20,20,5,1,2,4,24.0710248947144,0.42,168.823410051174
400,1,1,3,200,5,0.01,0,400,20,20,5,1,2,4,152.02433013916,0.1175,483.476072660896
150,2,1,3,200,5,0.01,0,400,20,20,5,1,2,4,23.6294040679932,0.0466666666666667,170.17182151385
400,2,1,3,200,5,0.01,0,400,20,20,5,1,2,4,152.998302936554,0.0325,482.157885481893
150,3,1,3,200,5,0.01,0,400,20,20,5,1,2,4,118.079846858978,0.366666666666667,168.517029456774
400,3,1,3,200,5,0.01,0,400,20,20,5,1,2,4,763.013164043427,0.0475,482.538593811706
150,1,2,3,200,5,0.01,0,400,20,20,5,1,2,4,24.5222980976105,0.42,168.823410051174
